2024-09-03 08:05,Moments Over Pixels,One should buy a budget camera and a cheap phone than a flagship phone.,/db/_posts/2024-09-03-Moments-Over-Pixels,posts/2024-09-03-Moments-Over-Pixels,"['photography', 'minimalism', 'mindfulness', 'tech']"
2024-09-24 08:23,Reflection | Life Update,Balancing carrer and personal growth,/db/_posts/2024-09-24-reflection-|-life-update,posts/2024-09-24-reflection-|-life-update,"['life', 'udpate', 'growth', 'simplicity', 'values', 'balance', 'well-being', 'priorities']"
